"Id","Sales"
1,4102.98066023909
24825,4426.8713381662
5993,3504.17187607248
37665,4892.60620059032
18833,3564.98031407933
12841,4956.11566136676
19689,3353.94655424427
857,4271.04907431161
15409,0
38521,5445.81222834356
13697,5065.1084418049
7705,3632.93121137663
39377,0
20545,3776.53674065314
1713,4723.34945523327
16265,4283.59703249094
33385,0
27393,0
2569,5080.16207949515
40233,4574.6651862264
21401,0
35953,4388.61356519116
34241,4042.84739261562
3425,0
22257,3864.74880314391
9417,0
30817,3556.72295421521
10273,4060.56920052869
35097,4202.81250329241
23113,4095.07215006812
4281,4019.57167876479
14553,5612.1570297559
8561,3925.46944732607
29961,3702.78779946321
25681,4753.53940960775
5137,3684.80654485905
23969,4275.6255833848
36809,4703.85059193632
17977,3513.60548460769
26537,5192.55990650917
11985,4374.30012295087
6849,3596.76009985675
17121,3954.61708480503
29105,3813.5529147451
32529,3802.38308899127
11129,4317.97514344912
31673,3438.97893795307
28249,4262.39693993278
23970,7453.61785379215
1714,8820.7242338469
24826,7970.28696575804
18834,5394.46768259331
38522,9765.9194969646
5994,5538.47168009425
35954,7535.9416126061
2,7434.46737476705
39378,0
4282,3765.38310178944
29106,5502.75915962686
8562,5820.28377911552
9418,0
25682,8671.26592952019
19690,5128.56788867359
34242,3995.34816602022
16266,4377.58347809584
22258,3619.06395184863
26538,9816.76263733539
20546,5233.81967941918
10274,3824.64943911793
30818,5421.29098914833
37666,8347.76718494008
33386,0
14554,11467.4144525827
858,7922.42455510058
21402,0
2570,9632.21527849608
11130,7230.10856678973
5138,5551.15250783709
40234,4410.37921340823
32530,5722.37788925845
36810,7916.81400342683
11986,7686.23142935005
15410,0
35098,7320.32601758676
29962,5402.80316066
23114,7068.40877891569
17978,5486.72168066364
31674,5586.23145715912
28250,3776.51641992962
6850,5679.96225317343
13698,8720.94501990477
27394,0
7706,5751.12665793515
17122,6060.05044439444
12842,8154.80182715725
3426,0
4283,5786.20429545231
23971,10265.8777614785
24827,10394.0374172147
1715,10933.3093446912
8563,8816.82618881978
5995,7767.86251199383
29107,9263.32431439369
38523,14466.5418996055
34243,7031.2268130097
22259,6310.42211577629
35955,10649.0830872582
3,8940.86797042086
20547,8821.39965844839
39379,0
16267,7249.28162901103
26539,13711.597914158
23115,10315.1142887132
18835,8329.81116266706
25683,11822.0883077675
37667,12052.8896070295
859,9282.39923815164
17123,9333.92799506615
5139,8081.44840788841
19691,8349.42562421673
9419,0
7707,8382.66520736966
11987,9719.29804822531
10275,5676.10228181322
35099,10684.880480388
33387,0
14555,14980.2635512008
21403,0
2571,12134.8408067466
11131,9435.13521207286
29963,8391.86898904447
15411,0
28251,6616.84065554173
32531,9722.35473066491
13699,12278.8408477452
36811,10624.6409972335
30819,8577.24884477907
40235,7309.6819180278
6851,7789.69612212541
12843,10480.8105164038
27395,0
17979,8596.81670408514
3427,0
31675,9166.07452925922
860,6810.98761070009
24828,6563.20495879437
5996,5557.15233755856
4284,3366.50861122185
26540,8630.04628008069
23972,7035.44670700882
1716,7747.93522349171
28252,3312.84319707719
4,7144.50890293008
23116,6041.63896286103
37668,7330.28805032835
16268,3765.28670658772
35956,6997.56708320365
11132,6123.18958173386
19692,4556.9480906377
5140,5063.94257346443
22260,3169.58078865424
32532,5384.13640806573
11988,7298.74817939174
30820,4878.61928634907
39380,0
10276,3255.40998943201
33388,0
14556,10079.6246289725
40236,3671.91907044328
25684,7212.27842368001
6852,5012.8809639039
17124,5115.72603953338
34244,3391.31378181878
15412,0
3428,0
20548,5011.42233794715
9420,0
17980,5255.88759913718
21404,0
35100,6097.5753401753
7708,5161.85065639522
8564,5564.36577981826
29108,4841.36561914908
2572,8964.42894065124
29964,5350.50192756577
36812,6663.98776496305
38524,8833.67885714843
27396,0
13700,8247.79720999433
31676,4901.85564559043
12844,7452.00010424601
18836,4797.14092044023
16269,6540.51335678151
23973,7654.94788651017
4285,5922.57617323101
11989,7633.50359114504
11133,7299.90741519383
861,7359.89855574342
23117,7356.18573571061
1717,8122.52508377319
5997,5778.47533682426
5,7027.95341043339
17125,6573.0165775466
34245,6218.25519919511
22261,5871.2190195801
21405,0
26541,10584.079216604
9421,0
30821,5786.96835794927
10277,5770.20112028482
35101,7192.14869962345
33389,0
35957,7317.57813367721
